,MM_Acc,DD_Mes_Acc,Dia_Semana_Acc,Hora_Acc,Min_Acc,Localidad,Gravedad_Indicador_Tradicional,Clase,Edad,Sexo
25478,2,10,6,0,4,13,1,1,27.0,1
25479,2,10,6,0,4,13,1,1,32.0,1
25480,2,10,6,0,4,13,1,1,51.0,2
25481,2,10,6,0,40,13,1,4,37.0,1
25482,2,10,6,0,40,13,1,1,27.0,1
25483,2,10,6,0,40,13,1,1,25.0,2
25484,2,9,5,19,16,12,1,1,19.0,1
25485,2,9,5,19,16,12,1,4,31.0,1
25486,2,7,3,5,30,15,1,1,31.0,1
25487,2,7,3,5,30,15,1,5,28.0,2
25488,2,14,3,9,30,17,2,3,46.0,1
25489,2,14,3,5,3,10,2,5,57.0,1
25490,2,14,3,5,3,10,2,1,23.0,1
25491,8,3,6,23,44,4,3,2,38.0,1
25492,8,3,6,23,44,4,3,4,46.0,1
25493,8,5,1,15,29,1,1,4,64.0,2
25494,8,4,7,19,0,11,3,2,44.0,1
25495,8,4,7,19,0,11,3,1,63.0,1
25496,7,28,7,15,0,17,1,2,41.0,1
25497,7,28,7,15,0,17,1,1,21.0,1
25498,8,10,6,7,47,16,1,5,40.0,2
25499,8,18,7,13,6,5,1,2,54.0,1
25500,8,18,7,13,6,5,1,1,23.0,1
25501,8,15,4,17,15,15,3,2,55.0,1
25502,8,19,1,11,15,11,1,3,21.0,1
25503,8,19,1,11,15,11,1,1,4.0,1
25504,8,17,6,21,30,6,3,2,54.0,1
25505,8,17,6,21,30,6,3,9,46.0,1
25506,8,17,6,5,0,12,1,1,38.0,1
25507,8,17,6,5,0,12,1,1,40.0,2
25508,8,17,6,5,0,12,1,4,29.0,1
25509,8,14,3,18,10,11,1,2,33.0,1
25510,8,14,3,18,10,11,1,1,15.0,2
25511,8,14,3,18,10,11,1,1,16.0,2
25512,9,7,6,18,28,13,1,1,24.0,1
25513,9,7,6,18,28,13,1,1,23.0,1
25514,9,4,3,17,50,14,1,1,30.0,2
25515,9,4,3,17,50,14,1,2,32.0,1
25516,9,4,3,17,50,14,1,2,17.0,1
25517,9,4,3,17,50,14,1,2,22.0,2
25518,9,6,5,5,50,11,1,2,18.0,1
25519,2,22,4,6,55,16,1,3,40.0,1
25520,2,22,4,6,55,16,1,1,30.0,1
25521,2,22,4,13,0,17,1,1,32.0,1
25522,2,22,4,13,0,17,1,9,64.0,1
25523,6,19,3,20,20,1,1,11,52.0,1
25524,7,14,7,23,40,15,3,2,40.0,1
25525,7,14,7,23,40,15,3,2,28.0,1
25526,7,14,7,14,30,3,3,2,48.0,1
25527,7,14,7,14,30,3,3,4,48.0,1
25528,7,14,7,17,2,18,1,1,24.0,1
25529,7,19,5,7,30,15,1,5,43.0,2
25530,7,19,5,7,30,15,1,2,47.0,1
25531,8,24,6,9,32,14,3,4,0.0,1
25532,8,24,6,9,32,14,3,2,21.0,2
25533,8,24,6,9,32,14,3,4,45.0,1
25534,8,26,1,3,28,10,3,2,53.0,1
25535,10,15,2,19,40,12,1,1,26.0,2
25536,8,25,7,7,30,3,3,2,26.0,1
25537,10,20,7,23,30,14,1,1,42.0,1
25538,10,20,7,23,30,14,1,6,38.0,1
25539,10,20,7,8,53,8,1,2,43.0,2
25540,10,20,7,8,53,8,1,5,45.0,1
25541,10,20,7,16,30,12,1,1,39.0,1
25542,10,20,7,16,30,12,1,1,35.0,2
25543,10,20,7,16,30,12,1,4,58.0,1
25544,10,22,2,16,45,1,1,3,18.0,1
25545,10,23,3,5,10,12,1,5,41.0,1
25546,10,23,3,5,10,12,1,4,39.0,1
25547,11,16,6,23,45,2,3,2,34.0,1
25548,11,16,6,23,45,2,3,4,28.0,1
25549,12,4,3,14,45,15,1,1,68.0,1
25550,12,4,3,14,45,15,1,1,57.0,1
25551,12,4,3,5,20,15,1,3,30.0,1
25552,12,4,3,5,20,15,1,3,52.0,1
25553,8,28,3,6,20,17,1,1,26.0,2
25554,8,28,3,6,20,17,1,1,19.0,1
25555,8,28,3,6,20,17,1,1,46.0,2
25556,8,28,3,9,10,16,1,1,29.0,1
25557,8,28,3,9,10,16,1,2,48.0,1
25558,8,27,2,10,15,7,1,1,21.0,1
25559,8,27,2,10,15,7,1,2,65.0,1
25560,8,28,3,20,30,1,1,4,20.0,1
25561,8,28,3,20,30,1,1,1,24.0,1
